Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
395660,CENTRE REGIONAL DE L'EDUCATION ET DE FORMATION CONTINUE RUE DU 1ER MAI BIZERTE,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN. DE LA F.P ET DE L'EMPLOI,CENTRE REGIONAL DE L'EDUCATION ET DE FORMATION CONTINUE,BIZERTE
395670,ISET SIDI BOUZID ISET SIDI BOUZID ROUTE DE GAFSA B.P N 377 SIDI BOUZID,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,ISET SIDI BOUZID,SIDI BOUZID
395680,SOCIETE TOURISTIQUE IMMOBILIERE HOTEL LELLA MERIAM AV.FARHAT HACHED IMMEUBLE MAJED ZARZIS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL LELLA MERIAM,MEDENINE
395690,AMEN SERVICE GAZ (STATION SERVICE AGIL CARBURATION AUTO ) RTE DE GABES KM.4 CEINTURE CITE ELHABIB SFAX,GPL C,GPL C,GPL C,CITE EL HABIB - SFAX GPL,SFAX
395700,INSTITUT SUPERIEUR TECHNOLOGIQUE SIDI THABET INSTITUT SUPERIEUR TECHNOLOGIQUE SIDI THABET,DIVERS GAZ,DIVERS GAZ,DIVERS GAZ,INSTITUT SUPERIEUR TECHNOLOGIQUE SIDI THABET,ARIANA
395710,FOYER UNIVERSITAIRE SILIANA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FOYER UNIVERSITAIRE SILIANA,SILIANA
395720,CITE UNIVERSITAIRE AMOR KHATTAB AVENUE AMOR KHATTAB GABES,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE AMOR KHATTAB,GABES
395740,MOHAMED BEN FREJ BEN ABDALLAH 24. AVENUE HABIB BOURGUIBA JEBENIANA SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHAMED BEN FREJ BEN ABDALLAH,SFAX
395750,EL AIDI BEN SEBTI MABROUK SENED GARE Z.4 SENED GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,EL AIDI BEN SEBTI MABROUK,GAFSA
395760,"STE NOUVELLE DE MARCHANDISES ""S.N.D.M""",DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,"STE NOUVELLE DE MARCHANDISES ""S.N.D.M""",SILIANA
395770,MOHAMED MNIF SIDI ABBES ROUTE DE GABES KM 3.5 SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHAMED MNIF,SFAX
395780,MOUNIR BEN HAMMADI RIAHI CITE EL INBIAATH GOUBELLAT BEJA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOUNIR BEN HAMMADI RIAHI,ARIANA
