Compte ,Client ,Secteurs clients,Consolidation Client,Type Clients
213421,"SAUDI ARABIAN AIRLINES FUEL OEPRATIONS CONTROL, CC: 931, JEDDAH, 21231, KINGDOM SAUDI ARABIA ",AUTRES CLIENTS ETRANGERS,SAUDI ARABIAN AIRLINES,AUTRES CLIENTS ETRANGERS
213851,"TRANSAVIA - FRANCE SOUS COUVERT D'AIR FRANCE 2 PLACE DE LONDRES, BP11201 TREMBLAY EN FRANC",GR. AIR France,TRANSAVIA - FRANCE,GR. AIR France
213851,"TRANSAVIA - FRANCE SOUS COUVERT D'AIR FRANCE IO.NG CARBURANT, 95747 Roissy CDG Cedex, France",GR. AIR France,TRANSAVIA - FRANCE,GR. AIR France
213852,"TRANSAVIA - FRANCE SOUS COUVERT D'AIR FRANCE IO.NG CARBURANT, 95747 Roissy CDG Cedex, France",GR. AIR France,TRANSAVIA - FRANCE,GR. AIR France
214431,"AIR FRANCE 2 PLACE DE LONDRES, BP11201 TREMBLAY EN FRANC",GR. AIR France,AIR FRANCE,GR. AIR France
214432,"AIR FRANCE IO.NG CARBURANT, 95747 Roissy CDG Cedex, France",GR. AIR France,AIR FRANCE,GR. AIR France
214451,"WORLD FUEL SERVICES TRADING DMCC Portland House, Bressenden Place, London, UK,",INTERMEDIAIRES,WORLD FUEL SERVICES TRADING,INTERMEDIAIRES
214452,"WORLD FUEL SERVICES TRADING DMCC Portland House, Bressenden Place, London, UK,",INTERMEDIAIRES,WORLD FUEL SERVICES TRADING,INTERMEDIAIRES
214453,"WORLD FUEL SERVICES TRADING DMCC Portland House, Bressenden Place, London, UK,",INTERMEDIAIRES,WORLD FUEL SERVICES TRADING,INTERMEDIAIRES
214454,"WORLD FUEL SERVICES TRADING DMCC Portland House, Bressenden Place, London, UK,",INTERMEDIAIRES,WORLD FUEL SERVICES TRADING,INTERMEDIAIRES
214692,"KLM ROYAL DUTCH AIRLINES SPL/AP 94006/6700, P.O.BOX 7711, 1117 ZL SCHIPHOL ARPT THE NETHERLANDS",AUTRES CLIENTS ETRANGERS,KLM ROYAL DUTCH AIRLINES,AUTRES CLIENTS ETRANGERS
214861,A T A C S Avenue Ibn Eljazzar Imm Les Arcades 1er etage,INTERMEDIAIRES,A T A C S,INTERMEDIAIRES
214862,A T A C S Avenue Ibn Eljazzar Imm Les Arcades 1er etage,INTERMEDIAIRES,A T A C S,INTERMEDIAIRES
214952,SOCIETE STARS AIRLINES AEROPORT TUNIS CARTHAGE,INTERMEDIAIRES,SOCIETE STARS AIRLINES,INTERMEDIAIRES
215541,JAT AIRWAYS FUEL PURCHASING DEPARTEMENT 11070 NOVI BELGRAD BULEVAR UMETNOSTI 16,AUTRES CLIENTS ETRANGERS,JAT AIRWAYS FUEL,AUTRES CLIENTS ETRANGERS
215591,ROYAL JORDANIAN BP 302 AMMAN JORDANIE,AUTRES CLIENTS ETRANGERS,ROYAL JORDANIAN,AUTRES CLIENTS ETRANGERS
216251,"AEROFUELS INTERNATIONAL 5 Viktorenko Street, building 1, Moscow, 1251",AUTRES CLIENTS ETRANGERS,AEROFUELS INTERNATIONAL,AUTRES CLIENTS ETRANGERS
216272,"CONDOR FLUGDIENST Gmbh Condor Platz, Frankfurt am Main, Germany ",AUTRES CLIENTS ETRANGERS,CONDOR FLUGDIENST,AUTRES CLIENTS ETRANGERS
216251,"AEROFUELS INTERNATIONAL 5 Viktorenko Street, building 1, Moscow, 1251",INTERMEDIAIRES,AEROFUELS INTERNATIONAL,INTERMEDIAIRES
216351,XL AIRWAYS FRANCE BP 13760 3 PLACE DE BERLIN 95727 ROISY FRANCE,AUTRES CLIENTS ETRANGERS,XL AIRWAYS FRANCE,AUTRES CLIENTS ETRANGERS
216701,"FLY INTERNATIONAL AIRWAYS C/O TUNISAVIA, TUNIS-CARTHAGE, TUNISIE.",AUTRES CLIENTS TUNISIENS,FLY INTERNATIONAL AIRWAYS,AUTRES CLIENTS TUNISIENS
216701,"FLY INTERNATIONAL AIRWAYS Imm. Adonis, 1er etage, Rue du Lac Annecy, Les Berges du Lac, Tunis",AUTRES CLIENTS TUNISIENS,FLY INTERNATIONAL AIRWAYS,AUTRES CLIENTS TUNISIENS
216741,TUNIS AIR DIVERS BD 7 NOVEMBRE TUNIS CARTHAGE,GR. TUNIS AIR,T U N I S A I R,GR. TUNIS AIR
218421,LIBYAN AIRLINES AVENUE HAITI BP 2555 TRIPOLI LYBIE,AUTRES CLIENTS ETRANGERS,LIBYAN ARAB AIRLINES,AUTRES CLIENTS ETRANGERS
218421,LIBYAN ARAB AIRLINES AVENUE HAITI BP 2555 TRIPOLI LYBIE,AUTRES CLIENTS ETRANGERS,LIBYAN ARAB AIRLINES,AUTRES CLIENTS ETRANGERS
218451,CLIENTS PASSAGERS SUR TERRITOIRE LES DEPOTS AGIL AIR,AUTRES CLIENTS ETRANGERS,CLIENTS PASSAGERS,AUTRES CLIENTS ETRANGERS
218471,MIN.DEFENSE NATIONALE DIR.MATERIEL ROULANTS ET ESSENCES FONDOUK DJEDID,ARMEE AVIATION,ARMEE AVIATION,ARMEE AVIATION
219041,- DEPOT S.N.D.P.,AUTRES CLIENTS TUNISIENS,DEPOT S.N.D.P.,AUTRES CLIENTS TUNISIENS
220492,KARS INTERNATIONAL P O B 117 LES BERGES DU LAC TUNIS,INTERMEDIAIRES,KARS INTERNATIONAL,INTERMEDIAIRES
220501,"ASSOCIATED ENERGY GRP - A.E.G FUELS 165 HIGHWAY 50, SUITE 101, STATELINE, NV 8944",AUTRES CLIENTS ETRANGERS,ASSOCIATED ENERGY GRP,AUTRES CLIENTS ETRANGERS
221591,"ROYAL AIR MAROC DIRECTION OPERATIONS SOL, ZIRAM, AEROPORT MED",AUTRES CLIENTS ETRANGERS,ROYAL AIR MAROC,AUTRES CLIENTS ETRANGERS
221931,"MIXJET FLIGHT SUPPORT P.O.Box: 60676, Free Zone, Jamarek, Damascus,",AUTRES CLIENTS ETRANGERS,MIXJET FLIGHT SUPPORT,AUTRES CLIENTS ETRANGERS
222601,"PRINCESS PRIVATE AVIATION SIEGE TUNISAVIA, BOULEVARD LEADER YASSER ARAF",AUTRES CLIENTS TUNISIENS,PRINCESS PRIVATE AVIATION,AUTRES CLIENTS TUNISIENS
223772,"ENTER AIR Al. Krakowska 106, 02-256 Warszawa, Poland.",AUTRES CLIENTS ETRANGERS,ENTER AIR,AUTRES CLIENTS ETRANGERS
224121,FORCES ARMEES ROYALES DU MAROC 1 BAFRA RABAT MAROC,AUTRES CLIENTS ETRANGERS,FORCES ARMEES ROYALES DU MAROC,AUTRES CLIENTS ETRANGERS
